"id","youth","ethnicity","village","item","item_name","item_num","y"
"53717",2,2,"Mankanza",2,"bread_lg",69,2
"53717",2,2,"Mankanza",7,"mangbele_sm",48,3
"53717",2,2,"Mankanza",6,"cash_lg",63,1
"53717",2,2,"Mankanza",11,"duiker_sm",53,1
"53717",2,2,"Mankanza",15,"cube_sm",65,2
"53717",2,2,"Mankanza",10,"honey_lg",51,1
"53717",2,2,"Mankanza",18,"biscuit_lg",57,1
"53717",2,2,"Mankanza",3,"sardines_sm",59,1
"53717",2,2,"Mankanza",4,"sardines_lg",60,1
"53717",2,2,"Mankanza",1,"bread_sm",68,1
"53717",2,2,"Mankanza",13,"fish_sm",10,1
"53717",2,2,"Mankanza",9,"honey_sm",20,1
"53717",2,2,"Mankanza",16,"cube_lg",66,1
"53717",2,2,"Mankanza",5,"cash_sm",62,1
"53717",2,2,"Mankanza",8,"mangbele_lg",49,1
"53717",2,2,"Mankanza",12,"duiker_lg",54,1
"42383",2,2,"Mankanza",6,"cash_lg",63,2
"42383",2,2,"Mankanza",1,"bread_sm",68,1
"42383",2,2,"Mankanza",2,"bread_lg",69,2
"42383",2,2,"Mankanza",18,"biscuit_lg",57,1
"42383",2,2,"Mankanza",17,"biscuit_sm",19,3
"42383",2,2,"Mankanza",14,"fish_lg",55,2
"42383",2,2,"Mankanza",13,"fish_sm",10,2
"42383",2,2,"Mankanza",3,"sardines_sm",59,2
"42383",2,2,"Mankanza",9,"honey_sm",20,1
"42383",2,2,"Mankanza",4,"sardines_lg",60,2
"42383",2,2,"Mankanza",11,"duiker_sm",53,2
"42383",2,2,"Mankanza",15,"cube_sm",65,2
"42383",2,2,"Mankanza",5,"cash_sm",62,1
"42383",2,2,"Mankanza",16,"cube_lg",66,2
"42383",2,2,"Mankanza",8,"mangbele_lg",49,1
"42383",2,2,"Mankanza",12,"duiker_lg",54,2
"42383",2,2,"Mankanza",10,"honey_lg",51,1
"42383",2,2,"Mankanza",7,"mangbele_sm",48,3
"94316",2,2,"Mankanza",1,"bread_sm",68,2
"94316",2,2,"Mankanza",9,"honey_sm",20,1
"94316",2,2,"Mankanza",16,"cube_lg",66,1
"94316",2,2,"Mankanza",5,"cash_sm",62,2
"94316",2,2,"Mankanza",12,"duiker_lg",54,1
"94316",2,2,"Mankanza",17,"biscuit_sm",19,2
"94316",2,2,"Mankanza",14,"fish_lg",55,1
"94316",2,2,"Mankanza",2,"bread_lg",69,2
